Region,Category,Product,SalesChannel,Revenue,Profit,ProfitMargin,Date
Canada,Bikes,"Touring-1000 Blue, 60",Reseller,38621.93,-1390.39,-3.59,28 February 2013
Canada,Bikes,"Touring-1000 Yellow, 46",Reseller,38621.93,-1390.39,-3.59,30 May 2013
Canada,Bikes,"Mountain-200 Black, 38",Reseller,38555.83,3500.36,9.07,28 February 2013
France,Bikes,"Mountain-200 Black, 38",Reseller,38555.83,3500.36,9.07,30 April 2013
Southwest,Bikes,"Mountain-100 Black, 42",Reseller,38474.89,2411.09,6.26,01 August 2011
Northwest,Bikes,"Mountain-100 Black, 38",Reseller,38474.89,2411.09,6.26,31 May 2011
Northwest,Bikes,"Mountain-100 Black, 44",Reseller,38474.89,2411.09,6.26,29 August 2011
Southeast,Bikes,"Mountain-100 Black, 38",Reseller,38474.89,2411.09,6.26,01 August 2011
Southwest,Bikes,"Road-250 Black, 52",Reseller,38116.26,-2312.39,-6.06,28 January 2013
Southwest,Bikes,"Road-250 Red, 48",Reseller,38116.26,-1372.19,-3.60,28 October 2012
Northwest,Bikes,"Mountain-200 Black, 38",Reseller,38113.23,3833.12,10.05,29 January 2012
Northwest,Bikes,"Mountain-200 Silver, 42",Reseller,37583.84,3412.11,9.07,28 January 2013
Southwest,Bikes,"Mountain-200 Silver, 42",Reseller,37285.55,3749.88,10.05,30 May 2012
Southwest,Bikes,"Mountain-200 Black, 42",Reseller,37178.84,3375.34,9.07,29 November 2013
Southwest,Bikes,"Mountain-100 Silver, 44",Reseller,36719.89,2301.11,6.26,29 October 2011
Southwest,Bikes,"Mountain-100 Silver, 38",Reseller,36719.89,2301.11,6.26,01 August 2011
Southwest,Bikes,"Mountain-100 Silver, 38",Reseller,36719.89,2301.11,6.26,29 October 2011
Northwest,Bikes,"Mountain-100 Silver, 38",Reseller,36719.89,2301.11,6.26,01 March 2011
Northwest,Bikes,"Mountain-100 Silver, 38",Reseller,36719.89,2301.11,6.26,01 August 2011
Northwest,Bikes,"Mountain-100 Silver, 42",Reseller,36719.89,2301.11,6.26,01 August 2011
Southeast,Bikes,"Mountain-100 Silver, 42",Reseller,36719.89,2301.11,6.26,29 October 2011
Southeast,Bikes,"Mountain-100 Silver, 48",Reseller,36719.89,2301.11,6.26,01 May 2011
Southeast,Bikes,"Mountain-100 Silver, 48",Reseller,36719.89,2301.11,6.26,29 October 2011
Central,Bikes,"Mountain-100 Silver, 38",Reseller,36719.89,2301.11,6.26,01 May 2011
Southwest,Bikes,"Road-250 Black, 52",Reseller,36650.25,-328.90,-0.89,30 April 2012
Southwest,Bikes,"Road-250 Black, 44",Reseller,36650.25,-328.90,-0.89,28 October 2012
Canada,Bikes,"Road-150 Red, 56",Reseller,36498.35,-413.65,-1.13,01 May 2011
Central,Bikes,"Mountain-100 Black, 44",Reseller,36449.89,2284.19,6.26,29 January 2011
Central,Bikes,"Mountain-100 Black, 44",Reseller,36449.89,2284.19,6.26,01 May 2011
Southwest,Bikes,"Mountain-100 Black, 38",Reseller,36449.89,2284.19,6.26,29 October 2011
Southwest,Bikes,"Mountain-100 Black, 38",Reseller,36449.89,2284.19,6.26,01 March 2011
Southwest,Bikes,"Mountain-200 Silver, 38",Reseller,36191.84,3285.74,9.07,28 February 2013
Southwest,Bikes,"Mountain-200 Black, 38",Reseller,35801.84,3250.33,9.07,29 November 2013
Northwest,Bikes,"Mountain-200 Black, 38",Reseller,35801.84,3250.33,9.07,28 January 2013
Canada,Bikes,"Mountain-200 Black, 38",Reseller,35801.84,3250.33,9.07,29 November 2013
Northwest,Bikes,"Touring-1000 Blue, 60",Reseller,35761.05,-1287.40,-3.59,28 February 2013
Northwest,Bikes,"Mountain-200 Black, 42",Reseller,35654.31,3585.82,10.05,29 January 2012
Southwest,Bikes,"Mountain-200 Black, 42",Reseller,35654.31,3585.82,10.05,30 May 2012
Southwest,Bikes,"Road-250 Black, 44",Reseller,35341.31,-317.15,-0.89,31 July 2012
Southwest,Bikes,"Road-250 Red, 48",Reseller,35184.24,-1266.63,-3.60,30 April 2012
Southwest,Bikes,"Road-250 Red, 52",Reseller,35184.24,-1266.63,-3.60,30 April 2012
Southwest,Bikes,"Mountain-100 Silver, 38",Reseller,34679.90,2173.27,6.26,01 May 2011
Southwest,Bikes,"Mountain-100 Silver, 42",Reseller,34679.90,2173.27,6.26,29 October 2011
Northwest,Bikes,"Mountain-100 Silver, 44",Reseller,34679.90,2173.27,6.26,01 August 2011
Southeast,Bikes,"Mountain-100 Silver, 38",Reseller,34679.90,2173.27,6.26,29 January 2011
Central,Bikes,"Mountain-100 Silver, 48",Reseller,34679.90,2173.27,6.26,29 October 2011
Canada,Bikes,"Mountain-100 Black, 38",Reseller,34424.90,2157.29,6.26,01 March 2011
Northwest,Bikes,"Mountain-100 Black, 38",Reseller,34424.90,2157.29,6.26,29 October 2011
Northwest,Bikes,"Mountain-100 Black, 42",Reseller,34424.90,2157.29,6.26,01 May 2011
Southwest,Bikes,"Mountain-100 Black, 42",Reseller,34424.90,2157.29,6.26,29 January 2011
Southwest,Bikes,"Mountain-100 Black, 48",Reseller,34424.90,2157.29,6.26,29 October 2011
Northwest,Bikes,"Mountain-200 Black, 38",Reseller,34424.85,3125.32,9.07,30 May 2013
Canada,Bikes,"Mountain-200 Black, 38",Reseller,34424.85,3125.32,9.07,29 September 2013
Canada,Bikes,"Mountain-200 Black, 42",Reseller,34424.85,3125.32,9.07,30 May 2013
Canada,Bikes,"Mountain-200 Black, 42",Reseller,34424.85,3462.17,10.05,30 May 2012
Canada,Bikes,"Mountain-200 Black, 38",Reseller,34424.85,3462.17,10.05,28 November 2012
Southwest,Bikes,"Mountain-200 Black, 38",Reseller,34424.85,3462.17,10.05,28 October 2012
France,Bikes,"Touring-1000 Blue, 50",Reseller,34330.61,-1235.90,-3.59,30 April 2013
France,Bikes,"Touring-1000 Yellow, 46",Reseller,34330.61,-1235.90,-3.59,31 July 2013
Southwest,Bikes,"Road-250 Black, 52",Reseller,33718.23,-2045.57,-6.06,29 October 2013
Canada,Bikes,"Road-250 Red, 48",Reseller,33718.23,-1213.86,-3.60,29 January 2012
Canada,Bikes,"Mountain-200 Silver, 38",Reseller,33557.00,3374.89,10.05,29 February 2012
Canada,Bikes,"Mountain-200 Silver, 42",Reseller,33557.00,3374.89,10.05,29 February 2012
Southwest,Bikes,"Mountain-200 Silver, 38",Reseller,33407.86,3032.99,9.07,29 November 2013
Southwest,Bikes,"Mountain-200 Black, 46",Reseller,33195.39,3338.52,10.05,29 February 2012
Southwest,Bikes,"Mountain-200 Black, 46",Reseller,33195.39,3338.52,10.05,28 November 2012
Northwest,Bikes,"Mountain-200 Black, 38",Reseller,33195.39,3338.52,10.05,28 October 2012
Northwest,Bikes,"Mountain-200 Black, 38",Reseller,33047.86,3000.30,9.07,28 February 2013
Northwest,Bikes,"Mountain-200 Black, 38",Reseller,33047.86,3000.30,9.07,31 July 2013
Southwest,Bikes,"Mountain-200 Black, 38",Reseller,33047.86,3000.30,9.07,30 April 2013
Canada,Bikes,"Touring-1000 Blue, 60",Reseller,32900.17,-1184.41,-3.59,30 May 2013
Canada,Bikes,"Road-350-W Yellow, 40",Reseller,32659.01,-1981.31,-6.06,28 January 2013
Southwest,Bikes,"Road-350-W Yellow, 48",Reseller,32659.01,-1981.31,-6.06,29 October 2013
Southwest,Bikes,"Mountain-100 Silver, 42",Reseller,32639.90,2045.43,6.26,29 August 2011
Southwest,Bikes,"Mountain-100 Silver, 38",Reseller,32639.90,2045.43,6.26,29 August 2011
Northwest,Bikes,"Mountain-100 Silver, 42",Reseller,32639.90,2045.43,6.26,29 October 2011
Southeast,Bikes,"Mountain-100 Silver, 38",Reseller,32639.90,2045.43,6.26,01 May 2011
Southeast,Bikes,"Mountain-100 Silver, 42",Reseller,32639.90,2045.43,6.26,01 May 2011
Southeast,Bikes,"Mountain-100 Silver, 42",Reseller,32639.90,2045.43,6.26,01 August 2011
Northwest,Bikes,"Mountain-100 Black, 48",Reseller,32399.90,2030.39,6.26,29 October 2011
Northwest,Bikes,"Mountain-100 Black, 38",Reseller,32399.90,2030.39,6.26,29 August 2011
Central,Bikes,"Mountain-100 Black, 42",Reseller,32399.90,2030.39,6.26,29 January 2011
Central,Bikes,"Mountain-100 Black, 42",Reseller,32399.90,2030.39,6.26,01 May 2011
Canada,Bikes,"Mountain-100 Black, 38",Reseller,32399.90,2030.39,6.26,29 January 2011
Canada,Bikes,"Mountain-100 Black, 42",Reseller,32399.90,2030.39,6.26,29 August 2011
Canada,Bikes,"Road-450 Red, 52",Reseller,32367.38,-366.83,-1.13,29 October 2011
Canada,Bikes,"Mountain-200 Silver, 38",Reseller,32314.15,3249.89,10.05,29 December 2011
Canada,Bikes,"Mountain-200 Silver, 38",Reseller,32314.15,3249.89,10.05,28 November 2012
Northwest,Bikes,"Mountain-200 Silver, 46",Reseller,32314.15,3249.89,10.05,29 January 2012
Southwest,Bikes,"Mountain-200 Silver, 38",Reseller,32314.15,3249.89,10.05,28 August 2012
Southwest,Bikes,"Road-250 Black, 58",Reseller,32252.22,-1956.63,-6.06,28 January 2013
Southwest,Bikes,"Road-250 Black, 48",Reseller,32252.22,-1956.63,-6.06,28 January 2013
Southwest,Bikes,"Road-250 Black, 48",Reseller,32252.22,-1956.63,-6.06,30 April 2013
Southwest,Bikes,"Road-150 Red, 62",Reseller,32204.43,-364.98,-1.13,29 October 2011
Northwest,Bikes,"Mountain-200 Silver, 46",Reseller,32015.86,2906.61,9.07,30 April 2013
Northwest,Bikes,"Mountain-200 Silver, 38",Reseller,32015.86,2906.61,9.07,28 January 2013
Canada,Bikes,"Mountain-200 Silver, 38",Reseller,32015.86,2906.61,9.07,30 March 2013
Central,Bikes,"Mountain-200 Silver, 38",Reseller,32015.86,2906.61,9.07,30 April 2013
Northwest,Bikes,"Mountain-200 Black, 46",Reseller,31965.93,3214.87,10.05,30 April 2012
Southwest,Bikes,"Mountain-200 Black, 46",Reseller,31965.93,3214.87,10.05,29 January 2012
Southwest,Bikes,"Mountain-200 Black, 42",Reseller,31965.93,3214.87,10.05,28 November 2012
Southwest,Bikes,"Mountain-200 Black, 42",Reseller,31670.86,2875.29,9.07,28 February 2013
Canada,Bikes,"Mountain-200 Black, 46",Reseller,31670.86,2875.29,9.07,28 February 2013
France,Bikes,"Touring-1000 Blue, 46",Reseller,31469.72,-1132.91,-3.59,28 January 2013
France,Bikes,"Touring-1000 Blue, 60",Reseller,31469.72,-1132.91,-3.59,30 April 2013
Germany,Bikes,"Touring-1000 Yellow, 46",Reseller,31469.72,-1132.91,-3.59,30 March 2013
Southwest,Bikes,"Road-250 Red, 58",Reseller,31414.50,-281.91,-0.89,31 July 2012
Southwest,Bikes,"Road-250 Red, 44",Reseller,30786.21,-1108.30,-3.60,31 July 2012
Southwest,Bikes,"Road-250 Red, 52",Reseller,30786.21,-1108.30,-3.60,29 January 2012
Northwest,Bikes,"Mountain-200 Black, 42",Reseller,30736.47,3091.22,10.05,31 July 2012
Canada,Bikes,"Mountain-200 Black, 38",Reseller,30736.47,3091.22,10.05,28 September 2012
Canada,Bikes,"Mountain-200 Black, 38",Reseller,30736.47,3091.22,10.05,29 January 2012
Southwest,Bikes,"Mountain-200 Silver, 42",Reseller,30623.87,2780.24,9.07,29 November 2013
Southwest,Bikes,"Road-350-W Yellow, 48",Reseller,30617.82,-1857.48,-6.06,29 September 2013
Southwest,Bikes,"Road-350-W Yellow, 40",Reseller,30617.82,-1857.48,-6.06,28 January 2013
Southwest,Bikes,"Road-350-W Yellow, 48",Reseller,30617.82,-1857.48,-6.06,28 January 2013
Canada,Bikes,"Road-350-W Yellow, 48",Reseller,30617.82,-1857.48,-6.06,28 December 2012
Southwest,Bikes,"Mountain-100 Silver, 42",Reseller,30599.91,1917.59,6.26,29 January 2011
Southwest,Bikes,"Mountain-100 Silver, 48",Reseller,30599.91,1917.59,6.26,29 October 2011
Northwest,Bikes,"Mountain-100 Silver, 48",Reseller,30599.91,1917.59,6.26,01 August 2011
Northwest,Bikes,"Mountain-100 Black, 44",Reseller,30374.91,1903.49,6.26,29 October 2011
Southeast,Bikes,"Mountain-100 Black, 48",Reseller,30374.91,1903.49,6.26,01 August 2011
Southeast,Bikes,"Mountain-100 Black, 42",Reseller,30374.91,1903.49,6.26,29 October 2011
Southwest,Bikes,"Mountain-100 Black, 48",Reseller,30374.91,1903.49,6.26,01 March 2011
Southwest,Bikes,"Mountain-100 Black, 42",Reseller,30374.91,1903.49,6.26,29 October 2011
Central,Bikes,"Mountain-100 Black, 44",Reseller,30374.91,1903.49,6.26,29 October 2011
Southwest,Bikes,"Mountain-200 Black, 38",Reseller,30293.87,2750.28,9.07,29 August 2013
Southwest,Bikes,"Mountain-200 Black, 46",Reseller,30293.87,2750.28,9.07,28 February 2013
Southwest,Bikes,"Road-250 Red, 58",Reseller,30105.56,-270.16,-0.89,29 January 2012
Southwest,Bikes,"Road-250 Black, 48",Reseller,30105.56,-270.16,-0.89,30 April 2012
Southwest,Bikes,"Road-150 Red, 56",Reseller,30057.47,-340.65,-1.13,01 August 2011
France,Bikes,"Touring-1000 Blue, 60",Reseller,30039.28,-1081.41,-3.59,29 October 2013
France,Bikes,"Touring-1000 Yellow, 60",Reseller,30039.28,-1081.41,-3.59,30 April 2013
Canada,Bikes,"Mountain-200 Silver, 46",Reseller,29828.44,2999.90,10.05,28 August 2012
Canada,Bikes,"Road-350-W Yellow, 48",Reseller,29597.23,-1795.56,-6.06,29 October 2013
Canada,Bikes,"Mountain-200 Black, 46",Reseller,29507.01,2967.57,10.05,29 February 2012
Southwest,Bikes,"Road-250 Black, 44",Reseller,29320.20,-1778.76,-6.06,29 October 2013
Southwest,Bikes,"Road-250 Red, 48",Reseller,29320.20,-1055.53,-3.60,30 March 2012
Canada,Bikes,"Road-250 Red, 44",Reseller,29320.20,-1055.53,-3.60,28 October 2012
Southwest,Bikes,"Mountain-200 Silver, 46",Reseller,29231.87,2653.86,9.07,29 November 2013
Northwest,Bikes,"Mountain-200 Silver, 38",Reseller,29231.87,2653.86,9.07,29 November 2013
Northwest,Bikes,"Mountain-200 Silver, 42",Reseller,29011.01,1167.38,4.02,29 October 2013
Northwest,Bikes,"Mountain-200 Black, 38",Reseller,28916.87,2625.27,9.07,29 October 2013
Northwest,Bikes,"Mountain-200 Black, 38",Reseller,28916.87,2625.27,9.07,30 April 2013
Northwest,Bikes,"Mountain-200 Black, 42",Reseller,28916.87,2625.27,9.07,31 July 2013
Northwest,Bikes,"Mountain-200 Black, 42",Reseller,28916.87,2625.27,9.07,28 January 2013
Southwest,Bikes,"Mountain-200 Black, 42",Reseller,28916.87,2625.27,9.07,31 July 2013
Central,Bikes,"Mountain-200 Black, 38",Reseller,28916.87,2625.27,9.07,29 November 2013
Southwest,Bikes,"Road-250 Black, 58",Reseller,28796.63,-258.42,-0.89,30 April 2012
Southwest,Bikes,"Touring-1000 Blue, 46",Reseller,28608.84,-1029.92,-3.59,30 June 2013
Northwest,Bikes,"Touring-1000 Yellow, 50",Reseller,28608.84,-1029.92,-3.59,29 November 2013
Northwest,Bikes,"Touring-1000 Yellow, 46",Reseller,28608.84,-1029.92,-3.59,30 May 2013
France,Bikes,"Touring-1000 Blue, 50",Reseller,28608.84,-1029.92,-3.59,28 January 2013
Germany,Bikes,"Touring-1000 Yellow, 46",Reseller,28608.84,-1029.92,-3.59,29 October 2013
Southwest,Bikes,"Mountain-200 Silver, 46",Reseller,28585.59,2874.91,10.05,30 May 2012
Southwest,Bikes,"Mountain-100 Silver, 48",Reseller,28559.92,1789.75,6.26,01 August 2011
Southwest,Bikes,"Mountain-100 Silver, 44",Reseller,28559.92,1789.75,6.26,29 August 2011
Southwest,Bikes,"Mountain-100 Silver, 44",Reseller,28559.92,1789.75,6.26,31 May 2011
Northwest,Bikes,"Mountain-100 Silver, 38",Reseller,28559.92,1789.75,6.26,29 October 2011
Southeast,Bikes,"Mountain-100 Silver, 44",Reseller,28559.92,1789.75,6.26,29 October 2011
Canada,Bikes,"Mountain-100 Silver, 44",Reseller,28559.92,1789.75,6.26,29 August 2011
Central,Bikes,"Mountain-100 Black, 42",Reseller,28349.92,1776.59,6.26,01 August 2011
Central,Bikes,"Mountain-100 Black, 38",Reseller,28349.92,1776.59,6.26,01 May 2011
Southeast,Bikes,"Mountain-100 Black, 38",Reseller,28349.92,1776.59,6.26,29 September 2011
Southeast,Bikes,"Mountain-100 Black, 38",Reseller,28349.92,1776.59,6.26,01 May 2011
Southeast,Bikes,"Mountain-100 Black, 42",Reseller,28349.92,1776.59,6.26,31 May 2011
Northwest,Bikes,"Mountain-100 Black, 48",Reseller,28349.92,1776.59,6.26,31 May 2011
Northwest,Bikes,"Mountain-100 Black, 42",Reseller,28349.92,1776.59,6.26,31 March 2011
Southwest,Bikes,"Mountain-100 Black, 48",Reseller,28349.92,1776.59,6.26,29 August 2011
Southwest,Bikes,"Mountain-100 Black, 44",Reseller,28349.92,1776.59,6.26,31 May 2011
Southwest,Bikes,"Mountain-100 Black, 44",Reseller,28349.92,1776.59,6.26,01 August 2011
Southwest,Bikes,"Mountain-200 Black, 42",Reseller,28277.55,2843.92,10.05,30 April 2012
Southwest,Bikes,"Mountain-200 Black, 38",Reseller,28277.55,2843.92,10.05,28 August 2012
Southwest,Bikes,"Road-150 Red, 56",Reseller,27910.51,-316.32,-1.13,01 May 2011
Southwest,Bikes,"Road-150 Red, 62",Reseller,27910.51,-316.32,-1.13,01 May 2011
Southwest,Bikes,"Touring-1000 Yellow, 46",Reseller,27893.62,-10636.77,-38.13,30 March 2013
Southwest,Bikes,"Road-250 Red, 58",Reseller,27854.19,-1689.82,-6.06,29 October 2013
Southwest,Bikes,"Road-250 Black, 48",Reseller,27854.19,-1689.82,-6.06,29 October 2013
Southwest,Bikes,"Road-250 Black, 58",Reseller,27854.19,-1689.82,-6.06,30 April 2013
Northwest,Bikes,"Mountain-200 Silver, 46",Reseller,27839.88,2527.49,9.07,31 July 2013
France,Bikes,"Mountain-200 Silver, 42",Reseller,27839.88,2527.49,9.07,28 January 2013
Canada,Bikes,"Mountain-200 Black, 42",Reseller,27539.88,2500.25,9.07,29 November 2013
Northwest,Bikes,"Mountain-200 Black, 46",Reseller,27539.88,2500.25,9.07,31 July 2013
Southwest,Bikes,"Mountain-200 Black, 42",Reseller,27539.88,2500.25,9.07,29 August 2013
Southwest,Bikes,"Road-250 Black, 48",Reseller,27487.69,-246.67,-0.89,29 January 2012
Southwest,Bikes,"Road-250 Black, 44",Reseller,27487.69,-246.67,-0.89,29 January 2012
Southwest,Bikes,"Mountain-200 Silver, 42",Reseller,27342.74,2749.91,10.05,28 August 2012
Canada,Bikes,"Mountain-200 Silver, 46",Reseller,27342.74,2749.91,10.05,30 May 2012
Canada,Bikes,"Mountain-200 Silver, 38",Reseller,27342.74,2749.91,10.05,28 September 2012
Canada,Bikes,"Mountain-200 Silver, 42",Reseller,27342.74,2749.91,10.05,29 December 2011
Central,Bikes,"Mountain-200 Silver, 38",Reseller,27342.74,2749.91,10.05,29 February 2012
Canada,Bikes,"Touring-1000 Yellow, 60",Reseller,27178.40,-978.42,-3.59,30 May 2013
Northwest,Bikes,"Touring-1000 Blue, 50",Reseller,27178.40,-978.42,-3.59,30 May 2013
Canada,Bikes,"Road-450 Red, 52",Reseller,27118.61,-307.34,-1.13,01 May 2011
Central,Bikes,"Mountain-100 Silver, 42",Reseller,27055.76,285.60,1.05,29 January 2011
Canada,Bikes,"Mountain-200 Black, 42",Reseller,27048.10,2720.28,10.05,30 April 2012
Northeast,Bikes,"Mountain-200 Black, 42",Reseller,27048.10,2720.28,10.05,28 October 2012
France,Bikes,"Touring-1000 Yellow, 60",Reseller,26701.58,-25166.24,-94.24,28 January 2013
Canada,Bikes,"Touring-1000 Yellow, 60",Reseller,26701.58,-25166.24,-94.24,28 February 2013
Southwest,Bikes,"Touring-1000 Yellow, 46",Reseller,26701.58,-25166.24,-94.24,28 December 2012
Southwest,Bikes,"Road-350-W Yellow, 48",Reseller,26535.44,-1609.82,-6.06,30 March 2013
Canada,Bikes,"Road-350-W Yellow, 48",Reseller,26535.44,-1609.82,-6.06,30 April 2013
Canada,Bikes,"Road-350-W Yellow, 48",Reseller,26535.44,-1609.82,-6.06,28 January 2013
Central,Bikes,"Mountain-100 Silver, 48",Reseller,26519.92,1661.91,6.26,01 May 2011
Central,Bikes,"Mountain-100 Silver, 44",Reseller,26519.92,1661.91,6.26,29 October 2011
Southwest,Bikes,"Mountain-100 Silver, 38",Reseller,26519.92,1661.91,6.26,01 March 2011
Southwest,Bikes,"Mountain-100 Silver, 44",Reseller,26519.92,1661.91,6.26,01 May 2011
